funded_amnt,term,int_rate,sub_grade,addr_state,verification_status,annual_inc,emp_length,delinq_2yrs,inq_last_6mths,revol_util,acc_now_delinq,open_il_6m,open_il_12m,open_il_24m,total_bal_il,all_util,inq_fi,inq_last_12m,delinq_amnt,num_il_tl,total_il_high_credit_limit,Class
8325,term_36,16.29,D1,NY,Not_Verified,26000,emp_3,0,0,33.7,0,2,0,1,45272,50,0,0,0,3,47200,good
35000,term_36,11.47,B5,TN,Source_Verified,175000,emp_4,0,0,60.2,0,3,2,3,42656,79,1,1,0,20,50783,good
15000,term_36,10.78,B4,TX,Not_Verified,70000,emp_4,0,0,12.3,0,6,0,2,34604,30,0,0,0,14,94481,good
20400,term_60,14.46,C4,GA,Source_Verified,62000,emp_ge_10,0,1,46.7,0,3,0,2,52006,71,0,2,0,13,57052,good
16200,term_36,16.29,D1,MS,Verified,36000,emp_2,1,2,58,0,8,1,3,31663,58,0,2,0,11,41048,good
22000,term_60,13.67,C3,MN,Source_Verified,80662.4,emp_ge_10,0,0,76.2,0,1,0,1,4894,62,1,0,0,6,12075,good
27200,term_60,10.75,B4,NC,Not_Verified,92000,emp_ge_10,0,0,62.6,0,3,0,3,103488,64,4,2,0,5,125508,good
15100,term_60,19.99,E1,TX,Source_Verified,36000,emp_9,0,0,62,0,8,1,6,38999,75,1,0,0,20,49695,good
10000,term_36,6.49,A2,NY,Not_Verified,42000,emp_ge_10,0,1,6.4,0,2,1,2,21558,36,0,1,0,4,26584,good
30000,term_60,20.75,E2,IL,Source_Verified,81000,emp_ge_10,0,0,44.8,0,6,3,5,75088,72,2,5,0,17,95503,good
25000,term_36,11.99,C1,NC,Source_Verified,69000,emp_ge_10,0,1,34.2,0,1,0,0,15113,44,0,2,0,5,27662,good
9000,term_36,26.57,F5,VA,Verified,26500,emp_2,2,2,26,0,2,1,2,19893,56,0,2,0,8,22382,good
12000,term_36,14.46,C4,OR,Source_Verified,40000,emp_6,0,0,30.9,0,1,1,1,7173,63,0,1,0,1,8070,good
15025,term_36,13.67,C3,MA,Source_Verified,70000,emp_ge_10,1,1,73.4,0,4,1,2,79732,93,2,7,0,8,77040,good
5500,term_36,9.75,B3,NM,Verified,29000,emp_9,1,0,38.6,0,1,0,0,14896,55,0,0,0,3,23688,good
20000,term_36,5.32,A1,WI,Not_Verified,60000,emp_3,0,0,7.4,0,0,0,0,0,7,0,2,0,2,0,good
20000,term_36,11.99,C1,VA,Verified,65000,emp_ge_10,0,2,91.8,0,2,2,2,55944,85,2,6,0,15,64016,good
9000,term_36,10.78,B4,NY,Not_Verified,49000,emp_ge_10,0,0,30.7,0,0,0,0,0,31,0,0,0,1,0,good
10000,term_36,10.75,B4,NC,Verified,52000,emp_7,1,2,58.9,0,3,1,2,42296,53,2,2,0,10,54309,good
1500,term_36,13.67,C3,TX,Not_Verified,56000,emp_ge_10,0,1,70,0,2,1,2,35406,70,0,4,0,2,42355,good
18000,term_36,9.16,B2,SC,Verified,61000,emp_ge_10,0,0,90.5,0,1,0,0,8797,61,0,0,0,9,23480,good
6000,term_36,5.32,A1,AZ,Source_Verified,54000,emp_3,1,0,0.2,0,2,3,3,7013,26,2,3,0,7,9750,good
19000,term_60,9.16,B2,OR,Not_Verified,70000,emp_1,0,0,49.2,0,3,1,2,101593,76,0,0,0,10,118155,good
12000,term_36,9.16,B2,TX,Source_Verified,74880,emp_lt_1,0,1,53.1,0,3,2,3,39635,67,1,2,0,21,50357,good
14400,term_60,18.99,D4,MI,Not_Verified,62000,emp_4,9,0,84.1,0,4,1,2,99605,82,3,12,0,20,106211,good
7500,term_36,7.91,A5,MA,Not_Verified,46000,emp_ge_10,0,1,26.4,0,0,0,1,0,26,2,3,0,5,0,good
26700,term_36,15.31,C5,FL,Source_Verified,300000,emp_1,0,0,97.5,0,9,2,5,201589,81,3,2,0,22,254286,bad
15000,term_60,19.53,D5,CA,Not_Verified,41000,emp_ge_10,0,0,9.3,0,1,0,0,8908,30,0,0,0,6,24290,good
24000,term_60,17.97,D4,NJ,Not_Verified,60000,emp_lt_1,0,1,74.5,0,6,0,1,17043,62,0,3,0,14,36417,bad
9000,term_36,9.75,B3,WA,Source_Verified,73000,emp_8,0,0,60.5,0,4,0,0,9788,53,0,0,0,10,21810,good
15000,term_36,11.47,B5,NY,Verified,99600,emp_1,1,0,32.9,0,6,0,4,35060,72,1,1,0,7,46820,good
2750,term_36,25.88,F4,AZ,Source_Verified,33500,emp_3,0,0,55.8,0,1,1,1,10631,66,2,2,0,1,12000,good
5000,term_36,5.32,A1,MI,Not_Verified,79904,emp_ge_10,0,0,18.3,0,4,2,5,54266,60,0,1,0,8,63972,good
4200,term_36,9.16,B2,FL,Not_Verified,54000,emp_ge_10,0,2,33.7,0,1,0,1,10448,51,0,3,0,3,14525,good
8250,term_36,11.99,C1,CA,Not_Verified,55296,emp_ge_10,0,0,79.9,0,1,0,1,248963,80,0,0,0,37,235193,good
14000,term_60,13.44,C3,TN,Not_Verified,45000,emp_5,0,0,19.9,0,2,2,3,39948,66,1,5,0,17,48272,good
35000,term_36,13.67,C3,CA,Source_Verified,103000,emp_2,4,0,62.4,0,3,0,0,21983,46,1,0,0,8,62395,good
12000,term_36,8.39,B1,IL,Not_Verified,48000,emp_ge_10,1,0,13.8,0,2,0,1,30792,46,0,0,0,8,45176,good
15000,term_36,17.27,D2,TX,Verified,65000,emp_lt_1,0,2,32.3,0,2,1,2,31207,68,0,6,0,8,37779,good
4800,term_36,9.75,B3,MD,Verified,45760,emp_ge_10,0,1,16.2,0,4,2,3,35719,38,0,3,0,5,60883,good
9800,term_36,19.99,E1,AZ,Verified,80000,emp_2,2,0,2.7,0,1,0,0,18138,55,3,6,0,1,27000,good
6550,term_36,11.99,C1,WA,Not_Verified,58000,emp_2,0,0,59,0,8,0,0,30278,59,0,0,0,9,28500,good
16625,term_60,14.46,C4,NY,Verified,120000,emp_3,0,1,23.9,0,1,0,1,26998,54,0,4,0,6,28028,good
3000,term_36,9.75,B3,CO,Source_Verified,41681,emp_ge_10,0,0,72.9,0,1,0,1,15481,78,0,0,0,2,18708,good
16000,term_36,6.97,A3,PA,Not_Verified,125000,emp_3,0,0,39.6,0,7,1,1,97139,66,1,2,0,15,100812,good
14000,term_36,17.27,D2,NY,Verified,200000,emp_ge_10,0,5,96,0,0,0,0,0,96,0,4,0,2,0,bad
20000,term_60,7.91,A5,MO,Not_Verified,160000,emp_lt_1,0,0,64.3,0,2,0,2,27668,73,0,1,0,9,34112,good
17000,term_36,6.49,A2,IL,Source_Verified,51000,emp_lt_1,0,0,58.7,0,8,0,2,100149,88,1,4,0,20,99529,good
8800,term_36,19.48,E2,VA,Verified,20000,emp_unk,0,1,43.3,0,0,0,0,0,43,0,1,0,0,0,good
20000,term_36,5.32,A1,NC,Not_Verified,85000,emp_lt_1,0,0,9.5,0,2,0,1,30132,35,0,0,0,6,47932,good
12000,term_36,10.75,B4,MD,Not_Verified,40000,emp_1,0,1,52,0,1,0,0,9728,60,0,1,0,1,10693,good
10000,term_60,11.99,C1,GA,Not_Verified,42000,emp_2,0,0,21.7,0,1,0,1,11315,51,0,1,0,6,13344,good
8200,term_36,10.75,B4,IL,Source_Verified,48000,emp_lt_1,0,0,58.2,0,0,0,0,0,58,0,0,0,8,0,good
10000,term_36,6.49,A2,CA,Source_Verified,89000,emp_ge_10,2,0,61.3,0,1,0,0,9756,41,0,0,0,2,33557,good
7225,term_36,19.53,D5,TX,Source_Verified,30000,emp_unk,0,0,87,0,0,0,0,0,87,0,0,0,0,0,good
12000,term_36,7.89,A5,CA,Not_Verified,40000,emp_ge_10,0,0,31,0,1,0,1,5791,42,0,0,0,3,8000,good
28000,term_36,6.99,A3,TX,Not_Verified,275000,emp_ge_10,0,2,90,0,0,0,0,0,90,0,5,0,3,0,good
20000,term_36,5.32,A1,OH,Not_Verified,87360,emp_6,0,0,13.3,0,1,0,1,16183,27,0,0,0,12,27455,good
2000,term_36,12.99,C2,FL,Verified,47000,emp_ge_10,0,1,96.2,0,0,0,0,0,96,0,3,0,2,0,good
10000,term_36,6.49,A2,CO,Not_Verified,41000,emp_ge_10,0,0,15.1,0,1,0,0,6421,22,0,1,0,1,13576,good
12000,term_60,15.31,C5,AL,Not_Verified,75000,emp_3,0,1,92.8,0,1,1,2,39377,93,0,1,0,8,42651,bad
31975,term_60,16.59,D2,IN,Verified,112000,emp_ge_10,1,2,84,0,5,1,3,65529,84,0,2,0,16,93233,good
16800,term_60,14.46,C4,TN,Verified,40000,emp_7,0,0,75.7,0,1,0,1,6840,77,0,0,0,3,8757,good
7000,term_36,11.47,B5,GA,Source_Verified,65000,emp_3,0,1,57.4,0,0,0,0,0,81,0,2,0,0,0,good
17375,term_60,18.25,D3,ME,Not_Verified,39521,emp_4,0,1,45,0,2,2,2,24071,60,1,4,0,11,29927,good
35200,term_36,5.32,A1,FL,Verified,170000,emp_lt_1,0,0,41.8,0,1,0,1,26813,67,0,0,0,7,31000,good
24800,term_36,13.99,C4,KS,Source_Verified,133843,emp_3,0,0,47.5,0,3,1,4,31541,49,0,0,0,7,61710,good
30000,term_60,14.85,C5,CA,Source_Verified,110000,emp_6,1,0,69.1,0,1,0,1,20057,74,1,1,0,2,24439,good
5000,term_36,9.75,B3,OH,Source_Verified,46000,emp_3,0,0,59.7,0,3,0,1,28000,72,0,2,0,3,37919,good
12600,term_60,19.99,E1,NJ,Source_Verified,23000,emp_2,0,2,27.5,0,2,1,2,5999,50,2,5,0,2,8165,good
17100,term_36,9.75,B3,NJ,Not_Verified,105000,emp_ge_10,0,0,68.7,0,3,1,2,66230,65,3,0,0,7,92443,good
16000,term_36,5.32,A1,SC,Source_Verified,62000,emp_9,0,0,89.3,0,2,0,0,59838,89,0,0,0,3,85907,good
24000,term_36,6.97,A3,GA,Source_Verified,70000,emp_3,0,0,45.1,0,1,2,2,28815,57,0,1,0,11,33940,good
10750,term_60,22.45,E5,NJ,Source_Verified,55000,emp_3,3,0,34.6,0,7,0,1,44297,48,1,0,0,7,83596,good
5800,term_36,13.67,C3,CA,Verified,87000,emp_5,0,2,28,0,2,2,5,127488,40,0,2,0,57,132645,good
3675,term_36,12.99,C2,OH,Not_Verified,35978.61,emp_ge_10,0,1,18,0,1,1,1,24051,18,0,2,0,4,24051,good
6000,term_36,10.75,B4,FL,Source_Verified,53334,emp_3,0,0,24.9,0,5,2,4,213144,47,1,0,0,15,227141,good
25000,term_36,12.99,C2,CA,Not_Verified,170000,emp_2,0,1,76.2,0,2,1,3,26275,72,4,6,0,13,35313,good
9000,term_36,14.46,C4,FL,Source_Verified,66000,emp_8,0,0,75.4,0,0,0,1,0,75,0,6,0,2,0,good
24000,term_36,9.8,B3,MI,Source_Verified,150000,emp_1,0,1,77.2,0,1,0,0,4583,41,0,3,0,4,31735,good
11200,term_36,5.32,A1,NJ,Not_Verified,38000,emp_7,0,0,45.3,0,6,0,0,30841,65,0,2,0,11,41502,good
5000,term_36,17.27,D2,ME,Not_Verified,40000,emp_9,0,2,53.6,0,1,0,0,15353,55,0,5,0,2,27782,good
4800,term_36,12.99,C2,MD,Verified,90000,emp_ge_10,7,2,88,0,3,2,2,29901,88,0,3,0,4,38155,good
22400,term_60,6.49,A2,KY,Verified,75000,emp_ge_10,0,0,8.4,0,1,0,1,12791,31,0,0,0,8,16500,good
2000,term_36,9.75,B3,RI,Not_Verified,28000,emp_unk,1,1,28.5,0,1,0,1,8397,41,0,2,0,4,14396,good
12000,term_60,12.99,C2,NC,Not_Verified,52500,emp_1,0,0,68.5,0,2,0,0,24735,79,0,1,0,15,28602,good
5000,term_36,19.53,D5,WA,Source_Verified,130000,emp_2,0,1,55.6,0,1,1,1,37664,56,1,5,0,3,39946,good
35000,term_60,14.46,C4,TX,Verified,190000,emp_ge_10,0,0,99.5,0,1,0,3,87866,100,6,6,0,17,106716,good
11200,term_36,9.17,B2,FL,Verified,60000,emp_unk,0,1,77.3,0,4,2,2,38965,67,1,2,0,9,60910,good
9600,term_36,11.48,B5,PA,Not_Verified,96000,emp_ge_10,0,4,36,0,2,1,1,16030,36,1,3,0,4,27335,bad
25000,term_60,22.45,E5,IL,Source_Verified,127000,emp_5,0,2,57,0,4,3,4,133230,77,0,3,0,15,130409,bad
7000,term_36,8.39,B1,NY,Not_Verified,68000,emp_8,0,0,42.2,0,1,0,1,31104,42,1,1,0,2,37389,good
20000,term_36,9.8,B3,NY,Source_Verified,100000,emp_ge_10,0,0,49.5,0,3,1,3,47574,61,0,0,0,29,67177,good
25000,term_36,12.99,C2,DE,Source_Verified,95000,emp_ge_10,0,1,59.7,0,3,0,1,41654,61,0,4,0,17,67724,good
22500,term_36,9.16,B2,GA,Not_Verified,45000,emp_unk,0,0,23.6,0,1,0,0,10013,31,0,3,0,7,25000,good
20000,term_36,9.16,B2,NC,Not_Verified,75000,emp_2,1,0,30.3,0,1,0,1,28200,71,1,0,0,14,34822,good
4500,term_36,25.88,F4,WA,Verified,15000,emp_2,0,1,68.2,0,13,0,0,118961,111,1,4,0,40,105090,good
5000,term_36,10.78,B4,PA,Not_Verified,80000,emp_ge_10,0,3,31.5,0,7,3,4,121324,77,1,6,0,9,130703,good
17025,term_60,7.89,A5,VA,Source_Verified,69127,emp_3,0,0,28.9,0,0,0,0,0,29,3,5,0,3,0,good
7175,term_36,21.97,E4,TX,Verified,70000,emp_ge_10,0,3,66.9,0,2,1,2,13077,75,6,9,0,2,17060,good
20000,term_60,12.99,C2,NY,Not_Verified,73000,emp_ge_10,0,0,93.4,0,1,0,1,8296,70,0,0,0,4,17975,good
10150,term_36,14.85,C5,CA,Not_Verified,142000,emp_2,0,2,54,0,2,1,2,15753,54,0,3,0,4,22441,good
22000,term_60,22.45,E5,TN,Verified,50000,emp_5,0,0,76.4,0,3,1,4,36167,63,0,0,0,16,60786,good
10000,term_36,7.89,A5,WA,Source_Verified,53000,emp_6,0,0,22.3,0,1,1,1,31485,22,0,0,0,3,35748,good
6000,term_36,10.75,B4,MD,Verified,52000,emp_lt_1,0,0,50.3,0,2,0,1,41496,85,1,0,0,5,45365,good
10800,term_60,22.45,E5,UT,Source_Verified,42000,emp_4,0,2,40.2,0,4,2,6,21280,67,3,4,0,10,24703,good
5000,term_36,7.39,A4,MS,Source_Verified,48000,emp_8,0,0,91.3,0,1,1,1,18431,90,0,0,0,7,20762,good
4000,term_36,9.75,B3,CA,Not_Verified,70000,emp_ge_10,0,0,63,0,3,1,3,59746,73,3,5,0,6,81371,good
10000,term_36,7.89,A5,FL,Source_Verified,70000,emp_8,0,1,62.9,0,2,0,1,28606,64,2,1,0,5,44263,good
9600,term_36,9.75,B3,DE,Not_Verified,129800,emp_lt_1,0,2,57,0,2,0,1,19369,68,1,5,0,4,25000,good
20000,term_36,9.75,B3,SC,Verified,57987,emp_ge_10,2,0,89,0,1,0,0,43689,89,0,0,0,2,50693,good
25000,term_36,13.44,C3,FL,Verified,156000,emp_4,1,4,95,0,2,1,1,12896,95,1,5,0,3,26774,good
20000,term_36,8.49,B1,IL,Not_Verified,131000,emp_3,0,0,76.4,0,11,2,2,44039,81,1,2,0,29,51954,good
4000,term_36,7.49,A4,IL,Source_Verified,54000,emp_9,0,1,85.1,0,1,0,0,3342,65,1,2,0,2,8000,good
20000,term_60,14.46,C4,GA,Not_Verified,83000,emp_lt_1,1,0,49.1,0,3,0,1,27901,54,0,0,0,15,48358,good
12000,term_36,11.48,B5,NC,Verified,40284,emp_unk,0,0,83,0,0,0,0,0,83,0,0,0,1,0,good
16800,term_36,11.99,C1,NC,Verified,44500,emp_ge_10,0,2,15.5,0,3,2,8,38411,53,2,5,0,13,45173,good
24400,term_60,13.99,C4,OR,Not_Verified,81825.4,emp_6,0,0,62.3,0,9,0,3,68811,68,0,2,0,22,95421,good
4800,term_36,9.8,B3,CA,Verified,26000,emp_ge_10,0,0,97.3,0,1,1,1,14223,90,0,0,0,1,16566,good
15000,term_60,13.44,C3,GA,Not_Verified,82000,emp_1,0,2,78.5,0,0,0,0,0,79,0,2,0,0,0,good
12000,term_60,15.77,D1,MO,Not_Verified,78586,emp_ge_10,0,2,83.1,0,4,2,2,51260,80,1,2,0,7,66317,good
10000,term_36,11.99,C1,KY,Source_Verified,50000,emp_6,0,0,66.5,0,4,1,5,27207,63,2,1,0,28,44040,good
3250,term_36,9.17,B2,CA,Not_Verified,50000,emp_7,1,1,55.2,0,1,0,0,6175,38,0,1,0,5,19898,good
5000,term_36,5.32,A1,TX,Source_Verified,94000,emp_ge_10,0,1,10.5,0,1,0,0,2379,13,0,3,0,4,8107,good
17500,term_36,6.49,A2,AR,Not_Verified,175000,emp_6,0,1,78.9,0,2,1,2,32946,83,1,4,0,8,35406,good
20000,term_60,15.31,C5,GA,Source_Verified,45000,emp_lt_1,0,1,80.9,0,0,0,0,0,81,0,1,0,1,0,good
18975,term_60,19.99,E1,KY,Not_Verified,71000,emp_ge_10,0,1,22.1,0,3,1,2,66792,69,1,1,0,5,91811,good
20000,term_60,19.53,D5,NY,Not_Verified,65000,emp_ge_10,0,0,60,0,2,0,2,11948,75,1,1,0,3,13600,good
35000,term_60,18.99,D4,FL,Source_Verified,70000,emp_2,1,2,24.7,0,27,2,5,152064,88,2,7,0,41,163930,bad
22000,term_36,11.99,C1,MI,Not_Verified,44000,emp_3,0,0,52.8,0,6,0,0,24056,62,0,0,0,21,31844,good
6000,term_36,5.32,A1,CO,Not_Verified,100000,emp_lt_1,0,1,6.4,0,3,0,1,18809,26,0,1,0,3,38425,good
10000,term_60,14.46,C4,CA,Verified,52000,emp_8,0,0,51.4,0,4,2,2,47541,88,0,0,0,6,45693,good
24650,term_36,8.39,B1,CA,Not_Verified,110000,emp_lt_1,0,1,47.8,0,8,0,1,53956,68,0,1,0,12,55631,good
10000,term_36,11.47,B5,OH,Verified,40000,emp_lt_1,0,0,57.4,0,10,0,2,27036,73,0,1,0,11,31638,good
24000,term_36,6.49,A2,GA,Source_Verified,70000,emp_ge_10,0,0,73.8,0,0,0,0,0,74,0,1,0,3,0,good
8000,term_36,11.99,C1,PA,Source_Verified,35000,emp_9,0,0,73.5,0,3,0,1,38455,68,3,3,0,14,57205,good
16000,term_36,12.99,C2,CA,Verified,64500,emp_9,1,1,70.4,1,3,0,1,18067,62,0,2,0,4,34697,good
20000,term_36,9.16,B2,CT,Not_Verified,120000,emp_ge_10,1,0,76.2,0,3,1,3,27371,77,2,2,0,6,35349,good
4825,term_36,8.49,B1,NH,Not_Verified,40000,emp_ge_10,0,1,22.9,0,3,2,2,9663,29,2,3,0,8,19980,good
16000,term_60,14.46,C4,NY,Verified,58800,emp_3,2,3,19.7,0,2,1,2,21281,42,0,7,0,6,29252,good
3500,term_36,6.49,A2,CO,Not_Verified,75000,emp_1,0,0,23.3,0,2,0,2,54834,55,0,1,0,6,60824,good
14400,term_36,12.99,C2,NC,Source_Verified,98000,emp_ge_10,0,0,68.4,0,0,0,0,0,68,0,0,0,0,0,good
28000,term_36,7.89,A5,NJ,Not_Verified,120000,emp_6,0,0,25.2,0,2,0,1,27346,41,2,1,0,9,45119,good
12000,term_60,13.99,C4,CA,Source_Verified,96000,emp_ge_10,0,1,60,0,2,0,0,27692,34,0,1,0,3,57652,good
32000,term_36,12.99,C2,NJ,Source_Verified,130000,emp_3,0,0,49.4,0,1,0,1,9540,66,1,2,0,3,13781,good
24000,term_36,11.47,B5,VA,Verified,94000,emp_3,0,0,29.8,0,2,1,2,59321,44,2,1,0,9,64813,good
20000,term_36,13.44,C3,MD,Verified,130000,emp_3,3,3,69.8,0,5,0,1,169456,86,3,3,0,23,178564,good
40000,term_60,11.99,C1,VA,Verified,130000,emp_3,0,1,81.1,0,5,1,3,51728,78,3,4,0,12,68658,good
30000,term_60,16.29,D1,MO,Source_Verified,82000,emp_5,0,1,25.9,0,5,2,2,112505,51,1,5,0,25,113205,good
16000,term_60,11.99,C1,CO,Source_Verified,60000,emp_4,0,0,25.1,0,3,0,2,26196,63,0,2,0,8,31753,good
22000,term_36,6.49,A2,IL,Source_Verified,237000,emp_2,0,0,23,0,1,0,0,2928,23,0,1,0,7,25099,good
5925,term_36,21.97,E4,FL,Source_Verified,26500,emp_3,0,0,48.5,0,1,1,1,6174,56,0,0,0,1,7000,good
30000,term_60,21.48,E5,SC,Verified,68666.96,emp_ge_10,0,0,73.6,0,7,3,7,81381,73,8,12,0,27,106491,good
24000,term_36,11.47,B5,IL,Source_Verified,80000,emp_1,0,0,72.6,0,1,1,1,19902,79,0,0,0,2,22809,good
7000,term_36,9.75,B3,AZ,Verified,45000,emp_ge_10,0,0,46.7,0,2,1,1,59914,91,3,5,0,19,56256,good
7000,term_36,11.47,B5,VA,Verified,119000,emp_lt_1,0,0,58.3,0,5,2,2,125637,71,1,3,0,17,140527,good
15000,term_36,9.75,B3,NY,Not_Verified,59000,emp_lt_1,0,0,61,0,1,0,1,10787,61,0,1,0,1,15000,good
16000,term_60,9.17,B2,CA,Not_Verified,45000,emp_8,1,2,33.8,0,1,0,0,21281,45,0,2,0,5,40730,good
26400,term_36,5.32,A1,MD,Source_Verified,110000,emp_ge_10,0,2,23.4,0,0,0,0,0,23,0,3,0,1,0,good
11200,term_60,16.59,D2,CA,Not_Verified,60000,emp_1,1,0,36,0,1,0,0,24251,67,0,1,0,2,31498,good
9825,term_36,6.97,A3,KS,Not_Verified,50000,emp_6,0,0,34.4,0,4,2,3,72528,51,0,1,0,6,68103,good
12000,term_36,10.78,B4,OK,Verified,45000,emp_unk,0,0,50.8,0,1,0,0,4356,47,0,0,0,1,13967,good
8250,term_36,16.59,D2,WI,Source_Verified,53600,emp_lt_1,0,1,58,0,3,3,4,40187,84,3,2,0,28,43143,bad
5000,term_36,14.46,C4,NY,Not_Verified,49000,emp_unk,2,0,75.2,0,1,0,0,3982,64,0,0,0,6,10762,good
35000,term_36,20.75,E2,MI,Verified,120000,emp_ge_10,0,2,88.3,0,3,2,3,44052,84,4,3,0,13,55389,bad
5000,term_36,11.99,C1,IL,Not_Verified,50000,emp_2,2,3,62.5,0,6,1,1,60496,84,2,3,0,12,63053,good
28000,term_36,13.67,C3,NY,Not_Verified,95000,emp_5,0,1,52.7,0,2,0,1,35184,48,0,3,0,5,60376,good
2500,term_36,8.39,B1,MN,Not_Verified,107500,emp_ge_10,0,1,24.8,0,4,4,6,102771,55,1,1,0,35,115386,good
20000,term_36,18.25,D3,NY,Not_Verified,85000,emp_ge_10,0,0,94.2,0,2,1,3,36128,93,1,3,0,4,39774,bad
24000,term_60,14.46,C4,AR,Not_Verified,65000,emp_ge_10,1,1,52,0,1,0,1,31392,52,1,2,0,10,36674,good
3000,term_36,10.75,B4,TX,Source_Verified,55000,emp_lt_1,0,0,83.4,0,15,0,0,119021,88,1,4,0,18,128981,good
15350,term_36,15.31,C5,MO,Not_Verified,40000,emp_6,0,0,47.1,0,2,1,1,37224,60,1,5,0,6,51113,good
28000,term_36,14.46,C4,MS,Not_Verified,75000,emp_ge_10,0,1,49.4,0,5,2,5,18195,59,0,1,0,11,20526,good
10000,term_36,6.97,A3,NY,Not_Verified,80000,emp_2,0,0,67.6,0,5,0,2,22025,83,0,0,0,12,22075,good
7000,term_36,10.78,B4,TX,Verified,55000,emp_ge_10,1,0,63.2,0,3,2,3,17214,59,0,0,0,11,30476,good
9000,term_36,11.47,B5,FL,Source_Verified,30000,emp_unk,0,1,28,0,1,1,1,15346,69,1,3,0,3,17603,good
5000,term_36,10.75,B4,LA,Source_Verified,36000,emp_7,0,0,19,0,3,0,2,22974,42,2,2,0,14,43110,good
11450,term_36,15.31,C5,IL,Source_Verified,65000,emp_2,0,2,43.3,0,2,1,1,7183,42,4,5,0,9,17122,good
15000,term_36,12.99,C2,OK,Not_Verified,34000,emp_ge_10,0,0,59,0,2,1,3,22901,70,2,5,0,21,28160,good
10000,term_36,11.99,C1,OR,Source_Verified,53880,emp_ge_10,1,0,68,0,1,0,1,3641,60,0,0,0,4,7652,good
35000,term_36,11.48,B5,NY,Source_Verified,800000,emp_7,0,1,81,0,6,2,4,134397,88,1,4,0,12,165501,good
35000,term_36,7.39,A4,FL,Verified,121746,emp_unk,0,0,40.9,0,2,1,2,144076,45,0,0,0,6,150036,good
4800,term_36,14.46,C4,NY,Source_Verified,40000,emp_ge_10,1,1,9.7,0,0,0,0,0,10,2,3,0,2,0,good
5000,term_36,5.32,A1,IL,Verified,135000,emp_9,1,1,56.6,0,1,0,0,3876,47,0,1,0,6,20081,good
3500,term_36,18.99,D4,AZ,Verified,29412,emp_unk,0,0,61,0,3,2,3,19436,73,2,5,0,6,21664,good
