palmitic,stearic,oleic,linoleic,linolenic,eicosanoic,eicosenoic,class
11.4,3,73,10.6,0.7,0.1,0.1,olive
4.8,1.8,62.6,20,9.5,0.1,1.4,rapeseed
5.5,1.7,59,21.3,9.3,0.6,1.5,rapeseed
5.1,1.9,59.2,22.3,9.3,0.7,1.6,rapeseed
4.8,1.9,61.6,20.9,8,0.8,1.5,rapeseed
10,3.3,60,21.3,0.2,1.5,1.3,peanut
9.6,3.3,57.7,20.7,0.2,1.5,1.8,peanut
12.2,5.4,29.4,53,1,0.1,0.1,pumpkin
11,5.3,35,45.2,1.3,1.3,0.7,pumpkin
11.9,5.6,33.6,48.9,1,0.1,0.1,pumpkin
11.4,5.8,34.5,48.3,1,0.1,0.1,pumpkin
10.7,5.4,39.3,43.2,1.4,0.1,0.1,pumpkin
11.2,6.2,35.8,44.1,0.7,1.1,0.1,pumpkin
11.4,5.8,33.9,48.1,0.8,0.8,0.1,pumpkin
11.5,6.2,39.7,42.6,0.8,0.1,0.1,pumpkin
13,6.2,25.8,55,0.8,0.1,0.1,pumpkin
13,6.7,29.6,50.8,0.5,0.1,0.1,pumpkin
13.1,6.3,26.5,53.6,0.5,0.5,0.1,pumpkin
11.6,6.5,38.4,42.8,0.5,0.7,0.1,pumpkin
13.1,5.7,31.7,49.5,0.6,0.1,0.1,pumpkin
6.1,4.1,25.1,63.5,0.5,0.1,0.1,sunflower
6.3,4.2,27.4,61.4,0.8,0.1,0.1,sunflower
6.2,4.2,27.1,61.8,0.8,0.1,0.1,sunflower
6.2,4.2,27,60.9,0.5,0.3,0.1,sunflower
6.2,4,28.3,59.7,0.9,0.1,0.1,sunflower
5.6,4.2,25.7,58.9,1.7,2.8,0.9,sunflower
6.4,3.9,26,63.7,0.5,0.1,0.1,sunflower
6.8,4.3,26.4,60.5,1.3,0.1,0.1,sunflower
6,4.4,27.1,60.9,0.9,0.1,0.1,sunflower
6.4,4.8,25.3,61.8,1,0.1,0.1,sunflower
5.9,4.5,24.1,61.7,0.9,0.6,0.6,sunflower
6.2,4.1,29.9,57.8,1.3,0.1,0.1,sunflower
6.6,4.7,24.5,62.8,0.3,0.4,0.1,sunflower
6.4,4.4,24.4,63.7,0.4,0.4,0.1,sunflower
5.4,2,53.2,28.9,7.3,0.6,1.3,rapeseed
5.1,1.9,59.2,22.4,9.3,0.6,1.5,rapeseed
10.7,1.8,30.2,55.5,0.9,0.5,0.3,corn
4.5,1.7,64.9,18.6,8.3,0.1,0.1,rapeseed
5.7,2.1,54.6,26.8,8,0.1,0.1,rapeseed
6.2,2.2,52.2,29,8,0.1,0.1,rapeseed
9.7,3.9,25.1,54.2,5.9,0.1,0.1,soybean
