sample,dataset,carbon,hydrogen,oxygen,nitrogen,sulfur,HHV
Beech,Training,49.69,6.07,43.81,0.41,0.02,19.507
Beet Root Pellets,Testing,38.94,5.23,54.13,1.19,0.51,15.095
Beet Slices,Training,44.6,5.9,42.8,1.8,0.1,17.7
Bermuda Grass,Training,45,5.6,39.8,1.1,0.4,17.899
Bermuda Straw,Training,44.8,5.8,41.1,0.9,0.6,17.895
Biobrick,Training,47.67,6.59,36.04,0.08,0.09,17.72
Bio-Dry Wood,Testing,42.1,4.66,33.8,0.95,0.2,16.24
Biological Sludge,Training,46.8,6.2,25.4,0.4,1.2,17.329
Biomass Mix,Training,49.59,5.79,28.87,2.43,0.74,18.4
Birch Furn. Ply. Waste Wood,Training,51.25,5.94,39.32,3.48,0.01,19.347
Black Liquor,Testing,29.2,4.4,31.1,0.14,4.9,11.147
Black Locust Wood,Training,50.73,5.71,41.93,0.57,0.01,19.71
Black Poplar Bark,Training,43.25,6.33,49.66,0.42,0.34,17.406
Black Poplar Branch,Training,45.62,0.03,53.43,0.33,0.59,18.411
Black Poplar Wood,Training,46.19,5.7,47.36,0.18,0.56,18.392
Black Walnut Prunings,Training,49.8,5.82,43.25,0.22,0.01,19.83
Block Wood,Training,46.9,6.07,43.99,0.95,0,18.261
Brassica,Training,46.3,6.1,38.3,0.7,0.49,18.5
Briquette,Training,46.74,6.39,45.52,1.24,0.1,18.498
"Brown Kelp, Giant, Monterey",Training,26.6,3.74,20.22,2.55,1.09,10.26
"Brown Kelp, Soquel Point",Testing,27.8,3.77,23.69,4.63,1.05,10.75
Building Wastes Chips,Training,47.26,6.45,46.04,0.08,0.17,18.279
B-Wood,Training,50.26,6.91,39.66,1.03,0,20.05
Cabernet Sauvignon,Training,46.59,5.85,43.9,0.83,0.04,19.03
Cacao,Testing,47.4,5.24,33.6,3.03,0.19,18.38
Camphor Wood Chips,Training,50.3,6.1,42.5,0.1,0.2,19.952
"Cane, Italy",Training,47.7,6,45.64,0.5,0.16,18.06
Canyonlive Oak,Training,47.84,5.8,45.76,0.07,0.01,18.981
"Cardboard,Paper",Testing,44.5,5.68,41.2,0.1,0.12,16.9
Casuarina Crop,Training,48.61,5.83,43.36,0.59,0.02,19.44
Casuarina Equisetifolia Leaf,Training,46.12,6.9,42.64,1.18,0,18.48
Casuria Wood Char (950C) ,Testing,77.54,0.93,5.62,2.67,0,27.12
Casurina Wood,Training,48.5,6.24,43.12,0.31,0,18.769
Cattails,Training,43,5.25,42.5,0.74,0.04,17.81
Cedar Bark,Training,51,5.7,38.2,0,0,20.03
"Cereals, Almo-N3, Grob Enzersdorf Austria",Training,45.2,5,43.13,1.6,0.12,18.46
"Cereals, Almo-W-Ex, Wolfsthal Austria",Training,44.5,5,43.55,1.3,0.11,18.21
"Cereals, Capo-N3, Grob Enzersdorf  Austria",Training,45.4,4.8,43.64,1.3,0.12,18.58
"Cereals, Capo-W-Ex,Wolfsthal Austria",Training,44.7,5,43.2,1.8,0.12,18.46
"Cereals, Hai-W-Ex,Wolfsthal Austria",Training,44.8,5,42.53,1.6,0.13,18.41
"Cereals, Hay",Training,45.8,5.8,37,2,0.5,18.786
"Cereals, Heiduck-W-Ex, Wolfsthal Austria",Training,43.8,4.9,43.12,1.6,0.12,18.25
"Cereals, Hemp",Training,46.6,6,43.2,0.7,0.1,18.714
"Cereals, Indos N3 , Grob Enzersdorf Austria",Testing,45.6,5.1,47.78,1.4,0.12,18.47
"Cereals, Presto N3, Grob Enzersdorf Austria",Training,45.3,5.4,42.48,1.7,0.14,18.49
"Cereals, Rye",Training,47.9,5.9,42.5,0.7,0.1,19.434
"Cereals,Winter Barley",Testing,47.2,5.9,40.8,0.9,0.2,19.302
Chaparral Wood,Training,46.9,5.08,40.17,0.54,0.03,18.61
Char From Electronic Scrap,Training,33.5,1.32,2.2,1.01,0.56,12.278
Char From Redwood,Training,75.6,3.3,18.4,0.2,0.2,28.84
Char From Wheat Straw,Training,54.2,1.4,4.9,0.89,0.07,16.306
Charcoal,Training,92,2.45,3,0.53,1,34.39
Charcoal,Training,92.04,2.45,2.96,0.53,1,34.388
Charcoal From Gmelina Arborea,Training,76,5.4,15,0.8,0.38,33.42
Charcoal From Leucaena Leucocephala,Training,63,5.6,19,0.8,0.43,33.2
Chenin Blanc Pr,Training,48.02,5.89,41.93,0.86,0.07,19.13
Cherry Stone Waste,Training,48.57,6.21,44.6,0.43,0.19,19.069
Cherry Tree Branch,Training,46.42,6.21,46.68,0.52,0.17,19.361
Cherry Tree Leaves,Training,45.52,6.25,46.55,1.49,0.19,17.734
Chestnut Shell Waste ,Training,42.31,5.17,51.77,0.42,0.33,14.31
Chestnut Tree Chips,Training,45.3,6.1,48.8,0.23,0.17,17.485
Chestnut Tree Leaves,Training,47.82,6.24,43.46,2.21,0.27,18.757
Chestnut Tree Shaving Waste,Training,45.88,5,48.73,0.12,0.27,17.616
Chinkapin Wood,Training,49.68,5.93,44.03,0.07,0.01,19.35
Clarifier Sludge,Training,51.6,5.72,29.2,0.96,0.93,21.518
Coal ,Training,87.52,4.26,1.55,1.25,0.75,35.01
Coarse Poplar Wood,Training,50.8,5.89,41,0.59,0.02,18.931
"Cob, Maize",Training,48.2,5.5,42.4,0.8,0.3,18.92
Cocoa Beans,Training,48.2,6.9,33.5,3.1,0.2,20.211
Cocoa Beans Husk Waste,Training,43.25,5.89,47.93,2.64,0.29,17.313
Cocoa Hulls,Training,48.23,5.23,33.19,2.98,0.12,19.04
Coconut Coir Pith,Training,43.36,4.98,44.87,1.63,0,18.067
Coconut Fibre (Coir),Training,50.29,5.05,39.63,0.45,0.16,20.05
Coconut Shell,Training,50.22,5.7,43.37,0,0,20.498
Coconut shell char-750 C,Training,88.95,0.73,6.04,1.38,0,31.124
Coconut Shell Waste,Training,47.93,6.05,45.63,0.15,0.24,18.875
Coffee Husk,Training,47.5,6.4,43.7,0,0,19.8
Coffee Husk Waste,Training,45.06,6.42,45.51,2.53,0.48,18.326
Coke,Training,89.13,0.43,0.98,0.85,1,31.124
Compost Waste,Training,39.1,4.44,27.89,1.23,0.18,16
Compost Wood Waste,Training,49.84,5.24,38.64,0.37,0.03,19.831
Converse School - Sub C Coal,Testing,53.07,4.09,17.53,0.55,0.72,21.672
Corn Stalks,Training,43.86,5.77,43.24,1.28,0.05,18.25
Corn Stover,Training,45.48,5.52,41.52,0.69,0.04,17.93
Corn Stover,Training,46.5,5.81,39.67,0.56,0.11,19
Corn Stover ,Training,43.65,5.56,43.31,0.61,0.01,17.65
Corn Straw,Training,45.6,5.4,43.2,0.3,0.2,18.027
Corn Straw,Testing,44.73,5.87,40.44,0.6,0.07,17.68
Corncob,Training,46.58,5.87,45.46,0.47,0.01,18.77
Corncob Waste,Training,44.78,6.02,48.77,0.22,0.21,17.692
Cotton Gin Trash,Training,39.59,5.26,36.38,2.09,0,16.42
Cotton Gin Waste,Testing,49,4.71,35.1,1.45,0.36,16.27
Cotton Residue,Training,47.03,5.96,38.42,1.79,0.19,16.9
Cotton Stalk,Training,47.07,4.58,42.1,1.15,0,17.4
Cotton Stalk,Training,43.64,5.81,43.87,0,0,18.26
Cotton Stalk,Training,39.47,5.07,39.14,1.2,0.02,15.83
Cotton Stalks,Testing,51.2,4.96,37.1,1.24,0.95,17.282
Cottongin Waste,Training,42.66,6.05,49.5,0.18,0,17.483
"Currency,Paper",Training,42.9,5.97,43.6,1.75,0.3,18.299
Cynasa Cardunculus,Training,42,5.6,37.4,1.1,0.12,16.3
Dakota Switch Grass,Training,47.4,5.75,42.3,0.74,0.08,18.641
Dal Lake Weed,Training,19.12,2,25.96,4.22,0,8.887
Date Stone Waste,Testing,43.37,6.23,49.05,1.03,0.32,18.15
De-Inking Sludge,Training,28.8,3.53,18.8,0.52,0.17,12.188
Demo Wood Char 5500C,Training,77.6,2.5,9.5,1.5,0.2,32
Demo. Wood Char 3500C,Training,64.6,3.4,21,1.5,0.14,27.2
Demol. Wood,Training,46.3,5.39,34.45,0.57,0.12,18.41
Douglas Fir,Training,56.2,5.9,36.7,0,0,22.098
Douglas Fir Wood,Training,52.3,6.3,40.5,0.1,0,21.05
Douglass Fir Wood ,Training,50.64,6.18,43,0.06,0.02,20.377
Dried Grains Solubles,Testing,50.24,6.89,33.42,4.79,0.77,21.75
Ecolog,Training,47.77,6.38,36.67,0.11,0.26,17.75
Eko Grass Pellets,Training,44.1,5.59,35.6,2.5,0.22,18.574
English Walnut Prunings,Training,49.72,5.63,43.14,0.37,0.01,19.63
Erco Char,Training,65.86,2.57,12.8,0.4,0.1,24.161
Esc700,Training,92.7,1.6,3.3,0.4,0,32.204
Esparto Plant,Training,46.94,6.44,43.56,0.86,0,19.1
Eucalyptus,Testing,46.04,5.82,44.49,0.3,0,18.64
Eucalyptus Bark,Training,46.53,5.87,45.61,1.69,0.3,16.237
Eucalyptus Camaldulensis Crop,Training,49,5.87,43.97,0.3,0.01,19.42
Eucalyptus Chips,Training,44.77,6.33,48.51,0.14,0.15,16.838
Eucalyptus Fruit,Training,46.81,5.81,45.84,1.14,0.39,18.522
Eucalyptus Globulus Wood,Testing,48.18,5.92,44.18,0.39,0.01,19.23
Eucalyptus Sawdust,Training,49.37,6.4,42.01,2.02,0,18.502
Eucalyptus Sawdust,Training,48.2,5.3,42.2,0,0,19.025
Eucalyptus-Grandis,Training,48.33,5.89,45.13,0.15,0.01,19.35
Eucelyptus Wood Char (9500C),Training,76.1,1.33,11.1,1.02,0,27.597
Feijoa Leaves,Training,45.28,6.03,47.25,1.23,0.2,17.805
Fescue Straw,Testing,45.7,5.6,42.4,0.6,0.1,18.018
Fibreboard Waste Wood,Training,49.7,6.5,39.5,3.3,0.1,19.64
Field Grass,Training,46.31,5.2,35.82,2.37,0.2,18.412
Fir Char,Training,49.9,4,24.5,0.1,0.1,19.221
Fir Mill Waste,Training,51.23,5.98,42.1,0.06,0.03,20.42
Flax,Testing,46.6,5,42.92,0.6,0.16,18.75
Flax Straw,Training,47.8,5.4,41.6,0.7,0.1,19.082
Flax Straw,Training,48.24,5.62,41.23,0.88,0.12,19.401
Forest Residue,Training,53.16,6.25,40,0.3,0.09,19.5
Forest Residue Wood,Training,50.3,4.59,40,1.03,0.11,20.166
Forest Wood (Chips+Bark) ,Testing,48.94,5.77,45.09,0.18,0.02,18.537
Forest Wood Chips,Training,48.76,5.9,44.35,0.1,0.02,20.771
Fresh Subabul Wood,Training,46.24,5.8,46.59,0.25,0,19.698
Furniture Waste Wood,Training,50.89,6.13,40.23,1.6,0.02,19.626
German Braunkohole Lignite,Training,63.89,4.97,24.54,0.57,0.48,25.1
German-Anna,Training,82.62,3.02,3.66,0.92,0.73,33
German-Hvb Bittuminus,Training,76.65,4.78,10.87,0.54,0.42,31
Gorse Crop,Testing,43.49,5.53,49.16,1.49,0.33,18.599
Grape Pomace,Training,54.94,5.83,32.08,2.09,0.21,21.8
Grape Pruning,Training,46.6,5.85,43.9,0.83,0.04,19.03
Grape Stem,Training,46.2,6.2,32.9,1.7,0.1,16.885
Grape Vine Branch,Training,45,6.95,46.83,0.76,0.46,16.818
Grapevine Waste,Training,35.74,5.95,56.67,1.35,0.3,16.467
Grass Pellets,Testing,41.5,4.68,32.9,2.19,0.24,16.814
Grass Straw Char,Training,51,3.7,44,0.5,0.8,19.314
"Grass, Hay",Training,45.8,5.8,39.9,1.8,0.3,17.889
Green Ind. No. 3 -Hvbb Coal,Training,62.7,4.84,6.29,1.36,7.17,27.357
Greenwaste,Training,47,5.6,43.2,0.3,0.1,20.317
Groundnut Shell,Training,48.59,5.64,39.49,0.58,0,19.849
Hardwood,Training,47.1,5.52,36.92,0.43,0.07,18.123
Hardwood Bark,Testing,50.35,5.83,43.64,0.11,0.07,19.556
Hardwood Chips,Training,50.48,6.04,42.43,0.17,0.08,19.526
Hay,Training,45.69,6.44,32.91,1,0.38,17.22
Hazelnut And Alder Chips,Training,45.47,5.94,47.41,0.4,0.2,17.555
Hazelnut Shell,Training,50.9,5.9,42.8,0.4,0,19.9
Hazelnut Shell Waste,Testing,47.8,6.14,45.64,0.27,0.16,18.872
Hazelnut Tree Leaves,Training,45.14,6.79,45.71,2.05,0.31,17.87
Hemlock Fir,Training,50.4,5.8,43.6,0.1,0.1,20.1
Hemp,Training,44.8,5.17,41.9,0.99,0.07,17.593
Hemp(Cannabis Sativa L.)Whole Plant,Training,44.3,5.34,42.9,0.85,0.2,18.063
Hemp (Whole Crop) ,Testing,46,5.7,43,1.2,0.1,18.34
"Hemp, Crushed , Baled",Training,44.8,5.88,40.9,1.38,0.17,18.38
"Hemp, Fan Dried After Crushing",Training,45.7,5.95,43.1,0.73,0.1,18.33
"Hemp,Dried In Field",Training,45.5,6,44.4,0.43,0.08,18.28
"Hemp,Fan Dried",Training,45.3,5.91,40.8,1.26,0.14,18.43
"Hemp,Fresh",Testing,45.7,5.79,43,0.68,0.12,17.89
"Hemp,Silage Dried",Training,46.6,5.9,39.6,1.13,0.13,19.95
"Hemp,Silage",Training,46.2,5.9,40.1,1.14,0.16,19.5
Holmoak Branch Chips,Training,14.61,1.63,81.8,0.39,1.57,17.181
Horse Chestnut Tree Branch,Training,43.71,6.27,48.54,1.05,0.43,17.469
Hybrid Poplar,Testing,50.18,6.06,40.43,0.6,0.02,19.02
Intensive Grass,Training,42.6,5.5,36.8,2.1,0.3,19.076
Intensive Grass,Training,45.11,4.9,36.81,2.01,0.15,18.13
Ipilipil ,Training,48.3,6.8,42.5,0,0,20.22
Jawar Straw,Training,42.1,5.6,43.38,0.04,0,17.951
"Jefferson, Partl -Mvb Coal",Training,85.29,4.55,3.16,1.45,0.96,34.594
Jhanjra Bonbahal Seam Coal-R-VII,Training,59.37,3.68,10.11,1.41,0.43,24.082
Jujuba Wood,Testing,47.63,6.12,43.78,0.15,0,19.773
Jute Stick,Training,49,6.69,40.2,2.92,0.25,19.34
Kenaf,Training,46.6,5.8,42.7,1,0.14,18.58
Kiwi Branch,Training,97.18,0.41,0,1.95,0.97,17.812
Knot Grass,Training,47.07,5.41,39.9,1.08,0.12,18.495
Lanimated Waste Wood,Testing,49.71,6.08,39.04,3.36,0.05,19.521
Lantana Camara Leaf,Training,45.01,6.68,43.79,2.02,0,18.5
"Leather, Dark Brown ",Training,50.4,7.76,22.8,11.6,1.85,22.906
Lemon Rind Waste,Training,42.95,6.56,48.98,1.08,0.42,17.184
Leucaea Wood Chips,Training,47.9,5.84,43.3,0.41,0.08,19.473
Leucaena Wood,Training,49.2,6.05,42.7,0.47,0.03,19.07
Lewis,Testing,48.54,6.19,35.45,0.06,0.09,18.13
Lignite,Training,60.97,4.07,18.5,1.02,1.81,23.35
Lignite Char,Training,89,1.1,8.9,0.7,0.3,31.3
Loblolly Pine,Training,56.3,5.6,37.7,0,0,21.772
Long Leaf Pine Bark,Training,56.4,5.5,37.4,0,0,21.77
Low Temperaure Coke,Training,83.53,2.82,3.76,1,1.82,30.94
Lucerne (Whole Crop),Training,45.8,5.2,37.2,2.7,0.2,18.428
Lupine,Training,41.22,4.39,37.5,1.25,0.33,17.03
Lupine (Whole Crop),Training,41.2,4.4,37.5,1.3,0.3,17.03
Macadamia Shell,Training,54.41,4.99,39.69,0.36,0.01,21.01
Madrone Wood,Training,48.56,6.05,45.08,0.05,0.02,19.14
Madrone Wood,Testing,48.94,6.03,44.75,0.05,0.02,19.51
Maize,Training,40.96,6.92,50.71,1.17,0.23,16.429
Maize (Whole Crop),Training,46.8,5.4,39.6,1,0.1,17.69
Malt Husks,Training,52.6,6.6,35.1,4.7,0.4,20.6
Mango Wood,Training,46.24,6.08,44.42,0.28,0,19.17
Manzanita Wood,Testing,48.18,5.94,44.68,0.17,0.02,19.3
Maple,Training,49.64,6.18,35.51,0.1,0.38,18.16
Marabu,Training,48.6,6.3,43.6,0,0,20.72
Medlar Tree Branch,Training,44.36,6.17,48.77,0.52,0.18,17.645
Millet Grain Waste,Training,40.56,5.24,45.5,0.4,0,15.206
Millet Straw,Testing,43.71,5.85,45.16,0.01,0,18.047
Mimosa Branch,Training,45.81,6.19,47.08,0.75,0.17,17.752
Mint Straw,Training,45.2,5.52,35.3,2.47,0.25,17.652
Miscanthus Crop,Training,47.09,6.3,46.42,0.1,0.1,18.072
Miscanthus Grass,Training,39.8,5.07,44.2,1.07,0.05,17.937
"Miscanthus Sinensis Gracillimus, Oregon",Testing,47.7,5.75,42.7,0.45,0.05,18.957
Miscanthus (Whole Crop),Training,48.2,5.4,42.1,0.4,0.1,19.109
"Miscanthus, High K",Training,48.1,5.8,41.9,0.3,0.1,18.1
"Miscanthus, Low K",Training,49,6,43.8,0.6,0.1,19.4
"Miscanthus, Silage,Dried",Training,47.3,5.79,41.9,0.43,0.06,19.36
"Miscanthus, Sorghastrum,  Avenaceum, Oregon  ",Training,47.3,6.01,42.1,0.32,0.04,18.706
"Miscanthus,Silage",Training,47.1,5.78,41.8,0.45,0.08,19.28
"Miscanthus,Silberfeder,Oregon",Training,47.3,5.75,43.5,0.33,0.06,18.724
Missippi Hyacinth Digested Slurry,Training,31.7,3.82,23.2,1.98,0,12.28
Mixed Bark,Training,48.83,4.6,41.04,0.33,0.08,19.936
Mixed Garbage-I,Testing,44.99,6.43,28.76,3.3,0.52,19.729
Mixed Paper,Training,47.99,6.63,36.84,0.14,0.07,20.78
Mixed Paper,Training,43.41,5.82,44.32,0.25,0.2,17.611
Mixed Pine,Training,48.4,6.31,44.23,0.21,0.03,19.147
Mixed Waste Wood,Training,50.7,5.91,40.09,1.68,0.06,17.6
MSW Char,Testing,54.9,0.8,1.8,1.1,0.2,18.655
MSW Waste,Training,47.6,6,32.9,1.2,0.3,19.879
Mulberry Stick,Training,44.23,6.61,46.25,0.51,0,18.356
Nectarine Stone Waste,Training,48.57,6.22,44.48,0.5,0.23,19.56
Neem Wood,Testing,48.26,6.27,43.46,0.08,0,20.257
Northumberland No. 8-Anth. Coal,Training,83.67,3.56,2.84,0.55,1.05,32.856
Oak Acorn,Training,41.84,6.82,50.28,0.8,0.25,16.165
Oak Bark ,Training,49.7,5.4,39.3,0.2,0.1,19.42
Oak Char (5650C),Training,64.6,2.1,15.5,0.4,0.1,23.05
Oak Char 820-11850 F,Training,67.7,2.4,14.4,0.4,0.2,24.796
Oak Tree Branch,Training,48.26,6.28,42.26,2.87,0.33,17.717
Oak Tree Leaves,Training,46.9,5.47,44.2,3.04,0.38,17.516
Oakwood (Large Branch) ,Testing,48.57,6.81,42.23,2.39,0,19.17
Oakwood (Medium Branch),Training,48.62,6.52,42.28,2.58,0,19.24
Oakwood (Small Branch),Training,48.76,6.35,42.08,2.81,0,19.2
Oat Straw,Training,46.3,4.9,38.7,0.7,0.1,18.089
Oats And Vetch Crop,Training,41.69,5.82,51.27,0.92,0.29,16.661
Oats Bran,Testing,44.01,7.17,46.36,2.17,0.29,18.058
Oats Straw,Training,46.32,4.9,38.66,0.69,0.11,18.09
Oil Palm Fruit Bunch,Training,45.9,5.8,40.1,1.2,0,16.96
Olive Cake,Training,53.7,6.7,36.2,0.6,0,21.6
Olive Kernel,Training,52.44,6.17,37.85,1.32,0.09,19.9
Olive Kernel Shell,Training,53.2,6.7,36.3,0.5,0,21.4
Olive Kernel,Testing,54.6,6.8,36.1,0.8,0,22.4
Olive Mash,Training,61.8,8.9,22.7,1.5,0.1,30.029
Olive Pit,Training,49.9,6.6,39.1,0.7,0.3,20.821
Olive Pits,Training,48.81,6.23,43.48,0.36,0.01,21.39
Olive Pitts,Testing,52.8,6.69,38.25,0.45,0.05,21.59
Olive Stone,Training,46.55,6.33,45.2,1.81,0.11,17.884
Olive Stones,Training,49,6.1,42,0.8,0,20.23
Olive Tree Pruning,Training,45.36,5.47,47.42,1.47,0.28,17.342
Orange Husk,Training,51.4,7.2,37.2,1.34,0.08,26.724
Orange Peel And Seeds,Testing,46.4,5.7,41.8,1.52,0.05,18.35
Orange Tree Branch,Training,45.76,6.12,47.34,0.56,0.21,16.305
Orange Tree Leaves,Training,41.11,5.28,50.62,2.59,0.4,16.17
Orchard Grass,Training,48,5.7,42.9,0.6,0.1,18.572
Paddy Straw,Training,35.97,5.28,43.08,0.17,0,14.522
Palm Fibre,Testing,47.5,6.01,36.4,1.4,0.3,19.167
Paper Residue Sludge,Training,23.6,3.08,26.5,0.72,0.12,8.36
Park Waste Wood,Training,49.6,5.69,41.1,0.25,0.05,19.52
Park Wood,Training,35.2,3.77,25.1,0.86,0.08,13.2
Particle Board; S.Hardwoods,Training,51.83,5.81,39.37,2.96,0.03,19.361
Particle Board; S.Pine Coarse,Training,53.51,5.92,36.99,3.5,0.08,20.832
Particle Board; S.Pine Fine,Testing,52.99,6.09,37.94,2.95,0.03,20.588
Particle Board; S.Pine Medium,Training,55.01,5.65,36.15,3.16,0.03,20.897
Particle Boards;  Partly Impregnant,Training,48.6,6.08,41.34,3.92,0.06,18.3
Particle Boards;Pressed,Training,49,5.89,39.05,5.93,0.13,18.6
Pea Husk Waste,Training,24.51,0.27,73.8,0.42,1,15.464
Pea Plant Waste,Testing,44.06,4.73,49.91,0.9,0.39,17.351
Peach Pit,Training,49.14,6.34,43.52,0.48,0.02,19.423
Peach Pits,Training,53,5.9,39.14,0.32,0.05,20.82
Peach Stumps Stem,Training,45.7,5.6,37.9,1.7,0.1,17.4562
Peanut Hulls,Training,45.77,5.46,39.56,1.63,0.12,18.64
Peanut Shell,Training,47.4,6.1,44.4,2.1,0,18.6
Peanut Shell Waste,Training,49.35,6.4,42.96,1.05,0.24,20.088
Peat,Training,56,5,35,1,0,20.667
"Peat, S-H3",Training,54.81,5.38,35.81,0.89,0.11,22
Pepper Plant Waste,Training,36.56,5.27,53.67,3.66,0.83,13.656
Phc300,Training,57.8,5,36.5,0.2,0,22.84
Pine And Eucalyptus Chips,Training,45.9,6.3,46.03,1.59,0.19,16.987
Pine Chips,Training,49.66,5.67,38.07,0.51,0.08,19.79
Pine Chips,Training,48.15,5.59,45.9,0.09,0.28,19.427
Pine Cone Heart,Training,42.22,5.06,51.59,0.29,0.84,16.44
Pine Cone Leaf,Training,47.65,5.43,46.21,0.27,0.44,18.633
Pine Kernel Shell,Training,47.91,4.9,46.28,0.31,0.6,18.893
Pine Needles,Training,48.21,6.57,43.72,0,0,20.12
Pine Pellets,Testing,46.83,5.3,47.28,0.28,0.31,18.84
Pine Shaving Waste,Training,48.67,5.08,45.92,0.07,0.26,19.793
Pine Wood Chips,Training,43.5,5.9,36.5,0.5,0,16.071
Pineapple Waste,Training,47.3,6.03,40.9,1.13,0.21,18.47
Pist. Shells,Training,50.2,6.32,41.15,0.69,0.22,18.22
Pistachi Shells,Testing,48.9,6.3,42.9,0.5,0.2,19.586
Pistachio Shell Waste,Training,44.69,5.16,49.87,0.11,0.18,17.348
Pistachio Shell,Training,48.79,5.91,43.41,0.56,0.01,19.26
Pistachio Soft Shell,Training,45.53,5.56,47.17,1.74,0,18.57
Pittsburgh Seam Coal,Testing,75.5,5,4.9,1.2,3.1,31.751
Plum Stone Waste,Training,48.22,6.6,44.14,0.87,0.17,19.136
Ply Wood,Testing,48.13,5.87,42.46,1.45,0,18.955
Plywood Scraps Wood,Training,54.74,6.13,37.25,0.31,0.04,21.37
Pomegranate Peel Waste,Training,42.19,5.11,51.68,0.69,0.33,15.173
Ponderosa Pine Wood,Training,49.25,5.99,44.36,0.06,0.03,20.02
Poplar Crop,Training,48.45,5.85,43.69,0.47,0.01,19.38
Potato Plant Waste,Training,38.33,5.07,55.03,1.13,0.44,15.07
Pressed Cake(Olive Residues),Training,49.2,5.4,37.9,0.7,0.1,19.95
Prune Pit,Training,50.4,6.7,39.7,1.3,0.1,20.091
Prune Pits,Training,49.3,6.59,41.8,0.84,0.07,20.092
Qrc550,Training,87.1,2.4,6.9,0.5,0,32.72
Qualiflame,Training,46.29,6.95,36.03,0.12,0.35,17.67
Radiata Pine Sawdust,Testing,49,5.9,43.2,0.3,0.1,19.517
Rape,Training,51.1,6.44,34,2.3,0.4,21.604
Rape  (Whole Crop),Training,43.4,5.4,38.9,1.2,0.5,21.5455
Rape Oil Filter Cake,Training,50.2,6.86,30.79,5.05,0.77,22
Rape Residues,Training,50.2,6.9,30.9,5.1,0.8,22
Rape Straw,Testing,46.17,6.12,42.47,0.46,0.1,18.34
Rapeseed,Training,48.1,5.9,42.03,0.8,0.21,19.33
Rdf Waste,Training,44.72,6.21,38.36,0.69,0,19.495
Red Alder Wood,Training,49.55,6.06,43.78,0.13,0.07,19.3
Red Oak Chips,Training,49.74,5.96,44.06,0.23,0.01,19.54
Red Wood,Training,50.64,5.98,42.88,0.05,0.03,20.72
