package,authors,imports,suggests,depends,Roxygen,gh,rforge,descr,r_count,r_size,ns_import,ns_export,s3_methods,s4_methods,doc_count,doc_size,src_count,src_size,data_count,data_size,testthat_count,testthat_size,check_time,status
adepro,4,7,3,1,1,0,0,322,17,0.114461,8,1,0,0,0,0,0,0,2,0.006796,3,0.015809,68,1
AdequacyModel,1,3,0,0,0,0,0,467,4,0.014912,3,3,0,0,0,0,0,0,1,4.05e-4,0,0,50,1
adespatial,11,14,6,0,1,0,0,198,47,0.378197,88,43,15,0,1,0.013342,10,0.090375,3,0.0058,0,0,480,1
adfExplorer,1,1,3,1,1,0,0,376,6,0.11454400000000001,0,7,0,21,1,0.014858,0,0,2,0.007072,0,0,68,1
ADGofTest,1,0,0,0,0,0,0,129,3,0.002583,0,0,0,0,0,0,0,0,0,0,0,0,26,1
AdhereR,1,5,3,1,1,1,0,957,3,0.676354,5,20,27,0,2,0.167858,0,0,2,0.017606,0,0,112,1
adhoc,1,0,0,4,0,0,0,422,2,0.00894,3,1,0,0,0,0,0,0,1,0.017808,0,0,163,1
adimpro,2,0,0,4,0,0,0,244,9,0.190405,1,11,0,0,0,0,11,0.123801,0,0,0,0,57,1
adiv,1,3,1,6,0,0,0,577,79,0.246016,10,0,10,0,0,0,0,0,7,0.013504,0,0,300,1
AdjBQR,1,0,0,4,1,0,0,306,1,0.011303,8,6,0,0,0,0,0,0,0,0,0,0,107,1
adjclust,1,8,7,1,1,1,0,570,8,0.056081,34,8,26,0,3,0.019896,2,0.012962,1,0.011856,14,0.015327,234,1
adjustedcranlogs,1,5,0,1,1,1,0,133,1,0.006434,4,1,0,0,0,0,0,0,0,0,0,0,60,1
adklakedata,1,4,4,0,1,0,0,329,7,0.008519,4,9,0,0,0,0,0,0,0,0,1,4.85e-4,65,1
adlift,1,0,0,1,0,0,0,160,50,0.071128,4,8,0,0,0,0,3,0.060564,0,0,0,0,111,1
AdMit,1,0,1,1,1,1,0,425,17,0.032071,2,4,0,0,1,0.055446,3,0.003747,0,0,0,0,71,1
admixturegraph,1,13,3,1,1,1,0,414,18,0.560709,0,70,19,0,1,0.022665,0,0,16,1.08284,6,0.013413,256,1
ADMM,1,7,0,0,1,0,0,253,11,0.043742,11,8,0,0,0,0,12,0.037974,0,0,0,0,135,1
ADMMnet,3,1,0,1,0,0,0,505,6,0.043218,3,1,1,0,0,0,2,0.081561,0,0,0,0,123,1
ADMMsigma,1,5,5,3,1,1,0,378,5,0.052143,12,4,4,0,3,0.032119,9,0.039635,0,0,2,0.0025959999999999998,166,1
adnuts,1,2,8,1,1,1,0,449,11,0.09043,21,7,0,0,1,0.020929,0,0,0,0,0,0,99,1
ADPclust,1,4,2,1,1,1,0,1022,22,0.040769,8,9,2,0,1,0.006993,0,0,5,0.142719,17,0.062187,105,1
ADPF,1,0,0,3,1,0,0,1346,2,0.013766,2,1,0,0,0,0,0,0,1,0.008999,0,0,33,1
adpss,1,1,2,1,1,1,0,587,4,0.032012,4,5,0,0,1,0.008802,3,0.158171,0,0,0,0,110,1
ads,1,2,0,0,1,0,0,272,12,0.126508,4,1,37,0,0,0,8,0.351433,5,0.058749,0,0,167,1
AdvBinomApps,1,0,0,2,0,0,0,220,11,0.027557,3,10,0,0,0,0,0,0,0,0,0,0,40,1
advclust,2,6,1,1,1,0,0,330,28,0.050341,10,21,4,10,1,0.003731,0,0,0,0,0,0,139,1
AdvDif4,6,0,0,0,1,0,0,589,2,0.007323,0,2,0,0,0,0,0,0,0,0,0,0,33,1
adwave,1,0,0,1,0,0,0,589,3,0.012503,3,0,0,0,0,0,0,0,1,0.111892,0,0,38,1
adwordsR,1,3,0,1,1,0,0,669,6,0.05532,0,32,0,0,0,0,0,0,0,0,0,0,30,1
AEDForecasting,1,3,1,1,1,0,0,66,1,0.008023,4,1,0,0,0,0,0,0,0,0,0,0,47,1
aemo,1,6,3,1,1,0,0,169,1,0.007035,0,3,0,0,0,0,0,0,1,1.933064,1,0.001502,60,1
AER,1,2,29,6,0,0,0,238,4,0.029273,7,1,28,0,2,0.013817,0,0,107,1.919523,0,0,371,1
AeRobiology,3,16,0,1,1,0,0,453,17,0.244562,108,15,0,0,0,0,0,0,1,0.007612,0,0,162,1
AF,1,0,0,8,1,0,0,526,11,0.099771,26,7,4,0,0,0,0,0,3,0.106208,0,0,111,1
afc,1,0,0,0,1,0,0,620,16,0.075945,0,15,0,0,0,0,0,0,11,0.010997,0,0,28,1
afCEC,3,0,0,3,0,1,0,820,2,0.007875,1,1,1,0,0,0,5,0.072439,10,0.633475,0,0,144,1
afex,1,6,30,2,1,1,0,850,27,0.22594,37,24,13,0,3,0.069525,0,0,9,0.078575,17,0.89614,474,1
affluenceIndex,1,0,0,1,0,0,0,167,8,0.004242,1,0,0,0,0,0,0,0,1,0.007212,0,0,28,1
AFM,1,21,0,1,1,0,0,268,10,0.405124,131,90,0,14,0,0,0,0,5,1.128467,2,0.001437,232,1
afmToolkit,3,10,0,2,1,0,0,414,23,0.083203,19,19,2,0,0,0,0,0,1,0.835564,0,0,101,1
afpt,1,2,3,1,0,1,0,622,21,0.041803,0,16,9,0,3,0.033741,0,0,1,0.001217,2,0.004191,119,1
aftgee,1,6,1,1,1,1,0,777,4,0.112663,32,3,14,0,0,0,2,0.026847,0,0,0,0,148,1
AGD,1,2,0,1,1,1,0,289,4,0.062535,37,5,0,0,0,0,0,0,22,0.260207,0,0,96,1
aGE,1,4,2,1,1,0,0,319,3,0.016039,0,2,0,0,1,0.003061,0,0,0,0,0,0,49,1
AggregateR,3,4,0,0,0,0,0,219,1,0.005059,1,1,0,0,0,0,0,0,0,0,0,0,30,1
aggregation,2,0,0,0,1,0,0,448,3,0.00298,1,2,0,0,0,0,0,0,0,0,0,0,24,1
AGHmatrix,1,1,3,0,1,1,0,242,9,0.045266,2,6,0,0,1,0.01897,0,0,0,0,0,0,98,1
agop,1,0,0,6,0,0,0,231,8,0.057144,2,36,1,0,0,0,6,0.038699,0,0,0,0,120,1
AGread,1,6,0,1,1,1,0,518,12,0.030049,1,16,0,0,0,0,0,0,3,0.09528,0,0,65,1
agRee,1,2,0,3,0,0,0,389,7,0.019529,6,0,0,0,0,0,0,0,3,8.39e-4,0,0,115,1
AgreementInterval,1,0,4,2,1,0,0,233,7,0.02599,12,4,2,0,0,0,0,0,1,3.71e-4,4,0.003028,60,1
agricolae,1,7,0,1,0,0,0,788,86,0.218361,8,0,4,0,1,0.073794,0,0,35,0.07365,0,0,225,1
agridat,1,0,46,0,1,1,0,214,0,0,0,0,0,0,3,0.054002,0,0,1,0.011074,1,2.07e-4,279,1
agriTutorial,1,6,1,1,1,0,0,510,11,0.062027,7,0,0,0,0,0,0,0,5,0.003433,0,0,129,1
agrmt,1,0,0,0,0,0,1,571,26,0.022198,2,0,0,0,1,0.024944,0,0,0,0,0,0,41,1
AGSDest,3,4,0,0,0,0,0,416,15,0.096513,4,10,8,0,1,0.03765,1,0.030541,0,0,0,0,88,1
agsemisc,1,2,0,2,0,1,0,112,5,0.02647,1,0,0,0,0,0,0,0,0,0,0,0,36,1
ahaz,1,0,0,3,0,0,0,122,22,0.060116,2,1,18,0,0,0,2,0.027027,1,0.231708,0,0,98,1
AHMbook,3,10,0,2,0,0,0,417,31,0.159312,11,16,0,0,0,0,0,0,6,0.083983,0,0,161,1
ahnr,1,7,2,1,1,1,0,72,4,0.020185,7,3,2,0,1,0.002555,0,0,0,0,0,0,170,1
AhoCorasickTrie,1,1,2,0,1,1,0,979,2,0.010286,1,2,0,0,0,0,2,0.033676,0,0,0,0,85,1
ahp,1,5,7,1,1,1,0,110,8,0.034075,11,15,0,0,2,0.026966,0,0,0,0,5,0.006184,139,1
ahpsurvey,1,6,3,0,1,0,0,736,13,0.04328,6,10,0,0,1,0.038993,0,0,2,0.00162,0,0,124,1
AHR,1,4,1,1,1,0,0,460,8,0.057213,5,12,3,0,0,0,3,0.008673,0,0,4,0.007733,151,1
AICcmodavg,1,12,12,1,0,0,0,956,34,1.921232,6,3,489,0,0,0,0,0,15,0.033426,0,0,304,1
AID,4,7,0,1,0,0,0,212,5,0.02798,7,0,2,0,0,0,0,0,3,0.001594,0,0,100,1
aidar,1,1,1,0,1,0,0,104,1,0.016385,1,10,0,0,0,0,0,0,0,0,11,0.010631,104,1
AIG,1,5,0,0,1,0,0,238,8,0.089546,20,7,2,0,0,0,0,0,0,0,0,0,130,1
AIM,1,1,0,1,0,0,0,151,14,0.060396,0,1,0,0,0,0,0,0,0,0,0,0,99,1
aimPlot,1,1,2,2,1,0,0,422,3,0.004962,0,1,0,0,0,0,0,0,1,3.31e-4,0,0,45,1
aire.zmvm,1,11,9,1,1,1,0,314,13,0.082828,43,23,0,0,0,0,0,0,2,0.003423,10,0.028157,112,1
airGR,1,0,9,1,0,0,0,357,37,0.246929,4,36,1,0,4,0.041226,10,0.061714,4,0.52736,0,0,164,1
airGRteaching,1,7,1,1,0,0,0,515,13,0.058702,13,14,7,0,0,0,0,0,0,0,0,0,85,1
airportr,1,1,2,1,1,1,0,189,4,0.015726,3,7,0,0,1,0.005826,0,0,1,0.249574,0,0,63,1
airr,1,5,3,1,1,0,0,194,3,0.013591,11,10,0,3,1,0.005351,0,0,0,0,1,0.002655,71,1
aiRthermo,3,0,0,0,0,0,0,491,42,0.032382,4,0,0,0,0,0,3,0.066217,5,0.9229,0,0,45,1
ajv,1,3,3,0,1,1,0,124,4,0.013078,0,1,5,0,1,0.001802,0,0,0,0,0,0,56,1
Ake,2,0,0,0,0,0,0,281,30,0.018754,0,0,14,0,0,0,0,0,1,3.69e-4,0,0,33,1
akima,1,1,0,1,0,0,0,513,11,0.026631,7,1,0,0,0,0,19,0.406758,3,0.003014,0,0,59,1
akmeans,1,0,0,0,0,0,0,209,4,0.00592,0,0,0,0,0,0,0,0,0,0,0,0,26,1
ALA4R,1,9,15,0,1,1,0,381,32,0.185653,35,23,8,0,1,0.017317,0,0,1,0.016786,18,0.037734,157,1
alabama,1,0,0,2,0,0,0,199,2,0.028165,1,0,0,0,0,0,0,0,0,0,0,0,35,1
alakazam,1,15,3,2,1,0,0,441,11,0.242263,96,66,0,2,5,0.04119,2,0.012568,2,0.137099,0,0,302,1
albopictus,2,1,0,0,1,1,0,235,2,0.014084,4,3,0,7,0,0,0,0,0,0,0,0,31,1
ald,1,0,1,0,0,0,0,429,1,0.006224,1,11,0,0,0,0,0,0,0,0,0,0,43,1
ALDqr,3,2,0,1,0,0,0,85,2,0.010299,4,1,0,0,0,0,0,0,0,0,0,0,38,1
ALEPlot,1,1,2,0,1,0,0,290,3,0.037524,2,0,0,0,0,0,0,0,0,0,0,0,79,1
aLFQ,5,10,1,1,0,1,0,1343,7,0.059673,27,1,21,0,0,0,0,0,3,0.098071,3,0.087923,178,1
alfred,1,6,5,1,1,1,0,331,1,0.006178,10,2,0,0,1,0.001595,0,0,0,0,1,0.001779,98,1
AlgDesign,1,0,0,0,0,1,0,335,4,0.036087,0,1,2,0,1,0.112401,4,0.126477,5,0.00133,0,0,55,1
AlgebraicHaploPackage,1,0,1,1,0,0,0,123,1,0.008985,1,1,0,0,1,0.005353,0,0,0,0,0,0,37,1
algorithmia,1,4,2,2,1,0,0,462,6,0.02208,1,0,0,0,1,0.003332,0,0,0,0,0,0,54,1
algstat,1,3,0,1,0,0,0,378,43,0.178589,4,42,6,0,0,0,7,0.007894,8,0.002388,0,0,123,1
alignfigR,1,1,1,1,1,1,0,255,1,0.009455,2,4,0,0,1,0.004856,0,0,0,0,0,0,76,1
alineR,1,0,0,0,0,0,0,586,17,0.018677,3,1,0,0,0,0,9,0.032119,1,9.35e-4,0,0,41,1
allan,1,0,0,1,0,0,0,68,5,0.01535,1,0,0,0,0,0,0,0,0,0,0,0,38,0
allanvar,1,0,0,2,0,0,0,135,4,0.008988,6,4,0,0,0,0,0,0,2,0.573349,0,0,37,1
alleHap,1,4,1,0,1,0,0,924,4,0.105908,4,4,0,0,1,0.035863,0,0,0,0,0,0,77,1
allelematch,1,0,0,1,0,0,0,1101,1,0.136699,1,0,0,0,0,0,0,0,5,0.023022,0,0,41,1
AlleleRetain,1,0,1,1,0,0,0,164,1,0.084459,2,0,0,0,0,0,0,0,0,0,0,0,35,1
allelic,1,0,0,0,0,0,0,368,1,2.03e-4,0,1,0,0,0,0,1,0.003758,0,0,0,0,34,1
AllPossibleSpellings,2,0,0,0,0,0,0,59,2,0.009466,0,0,0,0,0,0,0,0,0,0,0,0,37,1
alluvial,1,0,6,0,1,1,0,106,3,0.017689,18,2,0,0,1,0.00993,0,0,0,0,1,3.87e-4,55,1
alpaca,1,6,1,1,1,1,0,530,7,0.03339,21,4,8,0,2,0.021451,5,0.006744,0,0,0,0,186,1
alphabetr,1,4,2,0,1,1,0,79,14,0.097653,1,15,0,0,1,0.024614,6,0.018186,0,0,0,0,279,1
alphahull,4,6,0,0,0,0,0,459,22,0.054097,9,19,3,0,0,0,2,0.183165,0,0,0,0,192,1
alphaOutlier,2,1,0,4,0,0,0,295,17,0.026541,5,0,0,0,0,0,0,0,2,0.003286,0,0,100,1
alphashape3d,2,0,1,2,1,0,0,514,9,0.048359,7,6,1,0,0,0,4,0.018634,0,0,0,0,109,1
AlphaSimR,1,1,3,3,1,0,0,876,17,0.221759,19,67,0,0,1,0.009247,26,0.271305,0,0,6,0.040678,231,1
alphastable,3,7,6,1,1,0,0,594,1,0.030277,2,0,0,0,0,0,0,0,0,0,0,0,54,1
AlphaVantageClient,1,2,5,1,1,1,0,410,4,0.007253,0,2,0,0,1,3.5e-4,0,0,2,0.001314,5,0.003499,57,1
alphavantager,1,11,5,1,1,1,0,258,4,0.006027,1,2,0,0,0,0,0,0,0,0,5,0.002826,80,1
alr3,1,0,0,2,0,0,0,381,4,0.017764,4,6,18,0,0,0,0,0,83,0.23821,0,0,80,1
alr4,1,0,0,3,0,0,0,221,2,6.28e-4,3,1,0,0,0,0,0,0,80,0.359606,0,0,125,1
ALS,1,0,0,3,0,0,0,441,10,0.019817,4,0,0,0,0,0,0,0,2,0.380762,0,0,35,1
ALSCPC,1,0,0,0,0,0,0,125,1,0.003583,0,0,0,0,0,0,0,0,0,0,0,0,26,1
ALSM,1,0,0,6,1,0,0,339,19,0.031449,41,19,0,0,0,0,0,0,38,0.014897,0,0,97,1
alterryx,1,5,2,0,1,1,0,444,9,0.030004,5,15,6,0,1,0.006388,0,0,0,0,0,0,62,1
altmeta,1,0,0,1,0,0,0,135,6,0.008467,2,1,0,0,0,0,0,0,5,0.004572,0,0,32,1
ALTopt,1,2,0,1,0,0,0,752,1,0.058651,13,14,0,0,0,0,0,0,0,0,0,0,49,1
amap,1,0,1,1,0,0,0,104,8,0.018643,2,3,4,0,1,0.00181,21,0.106995,0,0,0,0,53,1
AMAP.Seq,1,0,0,0,0,0,0,100,5,0.018402,0,0,0,0,0,0,0,0,1,0.244541,0,0,37,1
ambhasGW,1,4,0,1,1,0,0,171,5,0.007553,4,5,0,0,0,0,0,0,0,0,0,0,69,1
ambient,1,1,0,0,1,1,0,387,9,0.019361,1,6,0,0,0,0,10,0.149041,0,0,0,0,70,1
